Date,Store ID,Product ID,Product Name,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2023-03-12,S001,P0001,Arabica Coffee 500g,Groceries,North,403,134,186,130,33.5,0,Rainy,0,32.28,Spring
2023-03-13,S001,P0001,Arabica Coffee 500g,Groceries,North,462,154,143,151,33.5,10,Windy,0,32.28,Spring
2023-03-14,S001,P0001,Arabica Coffee 500g,Groceries,North,255,162,163,146,33.5,0,Rainy,0,35.01,Spring
2023-03-15,S001,P0001,Arabica Coffee 500g,Groceries,North,548,164,162,176,33.5,10,Sunny,0,34.13,Spring
2023-03-16,S001,P0001,Arabica Coffee 500g,Groceries,North,254,137,166,128,33.5,0,Windy,0,36.79,Spring
2023-03-17,S001,P0001,Arabica Coffee 500g,Groceries,North,195,127,177,129,33.5,0,Rainy,0,31.0,Spring
2023-03-18,S001,P0001,Arabica Coffee 500g,Groceries,North,451,122,136,124,33.5,15,Sunny,0,30.49,Spring
2023-03-19,S001,P0001,Arabica Coffee 500g,Groceries,North,331,148,177,157,33.5,5,Cloudy,0,30.27,Spring
2023-03-20,S001,P0001,Arabica Coffee 500g,Groceries,North,361,174,230,165,33.5,5,Rainy,0,33.86,Spring
2023-03-21,S001,P0001,Arabica Coffee 500g,Groceries,North,536,168,207,170,33.5,0,Rainy,0,35.23,Spring
2023-03-22,S001,P0001,Arabica Coffee 500g,Groceries,North,412,162,179,146,33.5,20,Sunny,0,33.64,Spring
2023-03-23,S001,P0001,Arabica Coffee 500g,Groceries,North,222,128,170,125,33.5,0,Windy,0,34.72,Spring
2023-03-24,S001,P0001,Arabica Coffee 500g,Groceries,North,456,117,106,109,33.5,0,Windy,0,36.26,Spring
2023-03-25,S001,P0001,Arabica Coffee 500g,Groceries,North,323,121,150,130,33.5,0,Windy,0,32.69,Spring
2023-03-26,S001,P0001,Arabica Coffee 500g,Groceries,North,442,132,163,139,33.5,5,Windy,0,30.85,Spring
2023-03-27,S001,P0001,Arabica Coffee 500g,Groceries,North,622,170,217,156,33.5,15,Rainy,0,31.52,Spring
2023-03-28,S001,P0001,Arabica Coffee 500g,Groceries,North,255,164,227,159,33.5,10,Windy,0,36.1,Spring
2023-03-29,S001,P0001,Arabica Coffee 500g,Groceries,North,356,155,180,157,33.5,0,Rainy,0,32.89,Spring
2023-03-30,S001,P0001,Arabica Coffee 500g,Groceries,North,525,137,148,128,33.5,5,Cloudy,0,32.79,Spring
2023-03-31,S001,P0001,Arabica Coffee 500g,Groceries,North,232,122,147,118,33.5,0,Cloudy,0,36.55,Spring
2023-04-01,S001,P0001,Arabica Coffee 500g,Groceries,North,225,129,161,138,33.5,0,Cloudy,0,31.5,Spring
2023-04-02,S001,P0001,Arabica Coffee 500g,Groceries,North,398,142,153,135,33.5,0,Cloudy,0,30.45,Spring
2023-04-03,S001,P0001,Arabica Coffee 500g,Groceries,North,615,158,188,157,33.5,0,Windy,0,31.84,Spring
2023-04-04,S001,P0001,Arabica Coffee 500g,Groceries,North,566,166,220,179,33.5,0,Sunny,0,36.75,Spring
2023-04-05,S001,P0001,Arabica Coffee 500g,Groceries,North,524,135,113,125,33.5,20,Windy,0,33.85,Spring
2023-04-06,S001,P0001,Arabica Coffee 500g,Groceries,North,422,117,136,117,33.5,0,Cloudy,0,31.26,Spring
2023-04-07,S001,P0001,Arabica Coffee 500g,Groceries,North,201,106,138,107,33.5,0,Rainy,0,32.13,Spring
2023-04-08,S001,P0001,Arabica Coffee 500g,Groceries,North,283,113,141,119,33.5,0,Rainy,0,31.54,Spring
2023-04-09,S001,P0001,Arabica Coffee 500g,Groceries,North,261,145,193,133,33.5,15,Cloudy,0,35.82,Spring
2023-04-10,S001,P0001,Arabica Coffee 500g,Groceries,North,380,150,160,142,33.5,0,Cloudy,0,34.91,Spring
2023-04-11,S001,P0001,Arabica Coffee 500g,Groceries,North,589,160,160,160,33.5,15,Rainy,0,31.79,Spring
2023-04-12,S001,P0001,Arabica Coffee 500g,Groceries,North,631,164,218,173,33.5,0,Sunny,0,33.62,Spring
2023-04-13,S001,P0001,Arabica Coffee 500g,Groceries,North,353,125,140,123,33.5,0,Cloudy,0,30.99,Spring
2023-04-14,S001,P0001,Arabica Coffee 500g,Groceries,North,324,120,164,111,33.5,20,Sunny,0,33.86,Spring
2023-04-15,S001,P0001,Arabica Coffee 500g,Groceries,North,236,111,90,102,33.5,0,Sunny,0,32.3,Spring
2023-04-16,S001,P0001,Arabica Coffee 500g,Groceries,North,362,136,141,136,33.5,5,Windy,0,31.4,Spring
2023-04-17,S001,P0001,Arabica Coffee 500g,Groceries,North,521,147,183,146,33.5,20,Windy,0,36.32,Spring
2023-04-18,S001,P0001,Arabica Coffee 500g,Groceries,North,256,158,158,167,33.5,0,Sunny,0,34.32,Spring
2023-04-19,S001,P0001,Arabica Coffee 500g,Groceries,North,547,157,145,170,33.5,10,Rainy,0,34.43,Spring
2023-04-20,S001,P0001,Arabica Coffee 500g,Groceries,North,442,111,107,101,33.5,0,Cloudy,0,33.22,Spring
2023-04-21,S001,P0001,Arabica Coffee 500g,Groceries,North,218,116,136,113,33.5,0,Sunny,0,32.29,Spring
2023-04-22,S001,P0001,Arabica Coffee 500g,Groceries,North,315,119,142,121,33.5,10,Windy,0,33.32,Spring
2023-04-23,S001,P0001,Arabica Coffee 500g,Groceries,North,306,130,117,134,33.5,20,Windy,0,30.42,Spring
2023-04-24,S001,P0001,Arabica Coffee 500g,Groceries,North,518,139,173,152,33.5,0,Windy,0,33.71,Spring
2023-04-25,S001,P0001,Arabica Coffee 500g,Groceries,North,358,159,217,154,33.5,5,Rainy,0,32.85,Spring
2023-04-26,S001,P0001,Arabica Coffee 500g,Groceries,North,461,140,154,151,33.5,5,Rainy,0,32.96,Spring
2023-04-27,S001,P0001,Arabica Coffee 500g,Groceries,North,296,126,131,124,33.5,5,Cloudy,0,30.76,Spring
2023-04-28,S001,P0001,Arabica Coffee 500g,Groceries,North,345,110,131,99,33.5,5,Sunny,0,32.34,Spring
2023-04-29,S001,P0001,Arabica Coffee 500g,Groceries,North,437,127,167,120,33.5,0,Windy,0,31.02,Spring
2023-04-30,S001,P0001,Arabica Coffee 500g,Groceries,North,241,131,127,135,33.5,0,Rainy,0,36.25,Spring
2023-05-01,S001,P0001,Arabica Coffee 500g,Groceries,North,399,140,170,152,33.5,0,Rainy,0,31.86,Spring
2023-05-02,S001,P0001,Arabica Coffee 500g,Groceries,North,361,157,217,153,33.5,5,Rainy,0,34.74,Spring
2023-05-03,S001,P0001,Arabica Coffee 500g,Groceries,North,360,144,190,147,33.5,0,Cloudy,0,36.42,Spring
2023-05-04,S001,P0001,Arabica Coffee 500g,Groceries,North,304,132,148,131,33.5,15,Cloudy,0,34.39,Spring
2023-05-05,S001,P0001,Arabica Coffee 500g,Groceries,North,240,114,153,123,33.5,0,Cloudy,0,36.7,Spring
2023-05-06,S001,P0001,Arabica Coffee 500g,Groceries,North,392,115,144,114,33.5,10,Windy,0,33.21,Spring
2023-05-07,S001,P0001,Arabica Coffee 500g,Groceries,North,445,143,139,136,33.5,0,Cloudy,0,32.9,Spring
2023-05-08,S001,P0001,Arabica Coffee 500g,Groceries,North,477,135,177,126,33.5,0,Rainy,0,30.2,Spring
2023-05-09,S001,P0001,Arabica Coffee 500g,Groceries,North,506,145,189,134,33.5,0,Rainy,0,30.93,Spring
2023-05-10,S001,P0001,Arabica Coffee 500g,Groceries,North,519,130,119,121,33.5,0,Windy,0,32.98,Spring
2023-05-11,S001,P0001,Arabica Coffee 500g,Groceries,North,440,115,159,105,33.5,5,Windy,0,35.45,Spring
2023-05-12,S001,P0001,Arabica Coffee 500g,Groceries,North,352,95,113,87,33.5,0,Sunny,0,35.73,Spring
2023-05-13,S001,P0001,Arabica Coffee 500g,Groceries,North,291,114,128,114,33.5,0,Cloudy,0,34.52,Spring
2023-05-14,S001,P0001,Arabica Coffee 500g,Groceries,North,499,125,138,114,33.5,20,Rainy,0,35.03,Spring
2023-05-15,S001,P0001,Arabica Coffee 500g,Groceries,North,296,129,138,127,33.5,20,Sunny,0,34.65,Spring
2023-05-16,S001,P0001,Arabica Coffee 500g,Groceries,North,478,138,179,146,33.5,0,Sunny,0,32.94,Spring
2023-05-17,S001,P0001,Arabica Coffee 500g,Groceries,North,465,138,176,137,33.5,0,Sunny,0,31.11,Spring
2023-05-18,S001,P0001,Arabica Coffee 500g,Groceries,North,212,122,108,122,33.5,15,Windy,0,30.6,Spring
2023-05-19,S001,P0001,Arabica Coffee 500g,Groceries,North,175,117,124,123,33.5,0,Sunny,0,34.52,Spring
2023-05-20,S001,P0001,Arabica Coffee 500g,Groceries,North,247,129,114,138,33.5,10,Sunny,0,35.66,Spring
2023-05-21,S001,P0001,Arabica Coffee 500g,Groceries,North,450,127,108,124,33.5,5,Rainy,0,31.87,Spring
2023-05-22,S001,P0001,Arabica Coffee 500g,Groceries,North,361,131,163,130,33.5,10,Rainy,0,32.61,Spring
2023-05-23,S001,P0001,Arabica Coffee 500g,Groceries,North,248,123,153,113,33.5,0,Windy,0,31.33,Spring
2023-05-24,S001,P0001,Arabica Coffee 500g,Groceries,North,480,135,140,148,33.5,0,Sunny,0,31.07,Spring
2023-05-25,S001,P0001,Arabica Coffee 500g,Groceries,North,277,106,109,113,33.5,5,Windy,0,36.0,Spring
2023-05-26,S001,P0001,Arabica Coffee 500g,Groceries,North,199,97,115,92,33.5,0,Windy,0,35.07,Spring
2023-05-27,S001,P0001,Arabica Coffee 500g,Groceries,North,287,100,129,104,33.5,5,Cloudy,0,30.48,Spring
2023-05-28,S001,P0001,Arabica Coffee 500g,Groceries,North,325,120,114,118,33.5,5,Sunny,0,35.23,Spring
2023-05-29,S001,P0001,Arabica Coffee 500g,Groceries,North,429,148,152,141,33.5,10,Sunny,0,32.26,Spring
2023-05-30,S001,P0001,Arabica Coffee 500g,Groceries,North,456,143,120,128,33.5,5,Rainy,0,31.57,Spring
2023-05-31,S001,P0001,Arabica Coffee 500g,Groceries,North,395,127,114,136,33.5,15,Sunny,0,33.34,Spring
2023-06-01,S001,P0001,Arabica Coffee 500g,Groceries,North,168,102,94,103,33.5,15,Cloudy,0,31.46,Summer
2023-06-02,S001,P0001,Arabica Coffee 500g,Groceries,North,175,86,73,80,33.5,5,Sunny,0,31.33,Summer
2023-06-03,S001,P0001,Arabica Coffee 500g,Groceries,North,357,98,97,95,33.5,0,Cloudy,0,30.52,Summer
2023-06-04,S001,P0001,Arabica Coffee 500g,Groceries,North,252,117,136,110,33.5,0,Windy,0,36.38,Summer
2023-06-05,S001,P0001,Arabica Coffee 500g,Groceries,North,265,150,130,153,33.5,0,Windy,0,30.97,Summer
2023-06-06,S001,P0001,Arabica Coffee 500g,Groceries,North,470,139,179,139,33.5,15,Sunny,0,30.45,Summer
2023-06-07,S001,P0001,Arabica Coffee 500g,Groceries,North,309,134,183,136,33.5,0,Windy,0,35.55,Summer
2023-06-08,S001,P0001,Arabica Coffee 500g,Groceries,North,406,103,113,102,33.5,0,Cloudy,0,32.7,Summer
2023-06-09,S001,P0001,Arabica Coffee 500g,Groceries,North,257,87,76,83,33.5,0,Windy,0,31.44,Summer
2023-06-10,S001,P0001,Arabica Coffee 500g,Groceries,North,337,92,106,89,33.5,0,Rainy,0,33.04,Summer
2023-06-11,S001,P0001,Arabica Coffee 500g,Groceries,North,416,109,148,106,33.5,5,Cloudy,0,32.36,Summer
2023-06-12,S001,P0001,Arabica Coffee 500g,Groceries,North,437,150,161,154,33.5,0,Cloudy,0,32.3,Summer
2023-06-13,S001,P0001,Arabica Coffee 500g,Groceries,North,308,126,107,117,33.5,0,Rainy,0,34.99,Summer
2023-06-14,S001,P0001,Arabica Coffee 500g,Groceries,North,264,130,147,136,33.5,0,Rainy,0,35.69,Summer
2023-06-15,S001,P0001,Arabica Coffee 500g,Groceries,North,293,98,117,89,33.5,15,Cloudy,0,36.48,Summer
2023-06-16,S001,P0001,Arabica Coffee 500g,Groceries,North,377,99,113,89,33.5,0,Rainy,0,34.71,Summer
2023-06-17,S001,P0001,Arabica Coffee 500g,Groceries,North,155,99,123,105,33.5,5,Sunny,0,33.48,Summer
2023-06-18,S001,P0001,Arabica Coffee 500g,Groceries,North,168,111,141,107,33.5,0,Windy,0,32.65,Summer
2023-06-19,S001,P0001,Arabica Coffee 500g,Groceries,North,276,127,113,133,33.5,5,Windy,0,33.48,Summer
2023-06-20,S001,P0001,Arabica Coffee 500g,Groceries,North,489,125,172,133,33.5,5,Windy,0,34.13,Summer
2023-06-21,S001,P0001,Arabica Coffee 500g,Groceries,North,299,123,105,130,33.5,15,Sunny,0,33.38,Summer
2023-06-22,S001,P0001,Arabica Coffee 500g,Groceries,North,391,99,115,97,33.5,5,Windy,0,32.95,Summer
2023-06-23,S001,P0001,Arabica Coffee 500g,Groceries,North,289,83,108,79,33.5,0,Cloudy,0,32.19,Summer
2023-06-24,S001,P0001,Arabica Coffee 500g,Groceries,North,134,86,95,85,33.5,15,Cloudy,0,31.24,Summer
2023-06-25,S001,P0001,Arabica Coffee 500g,Groceries,North,271,111,130,100,33.5,5,Rainy,0,33.24,Summer
2023-06-26,S001,P0001,Arabica Coffee 500g,Groceries,North,280,138,121,129,33.5,5,Cloudy,0,30.8,Summer
2023-06-27,S001,P0001,Arabica Coffee 500g,Groceries,North,324,129,165,141,33.5,15,Cloudy,0,30.69,Summer
2023-06-28,S001,P0001,Arabica Coffee 500g,Groceries,North,426,116,136,114,33.5,5,Sunny,0,30.39,Summer
2023-06-29,S001,P0001,Arabica Coffee 500g,Groceries,North,406,102,140,92,33.5,5,Cloudy,0,34.88,Summer
2023-06-30,S001,P0001,Arabica Coffee 500g,Groceries,North,364,97,80,105,33.5,0,Windy,0,30.94,Summer
2023-07-01,S001,P0001,Arabica Coffee 500g,Groceries,North,337,94,83,94,33.5,0,Windy,0,36.29,Summer
2023-07-02,S001,P0001,Arabica Coffee 500g,Groceries,North,259,104,110,94,33.5,5,Sunny,0,32.23,Summer
2023-07-03,S001,P0001,Arabica Coffee 500g,Groceries,North,290,131,180,120,33.5,0,Windy,0,35.96,Summer
2023-07-04,S001,P0001,Arabica Coffee 500g,Groceries,North,461,129,178,137,33.5,10,Cloudy,0,31.0,Summer
2023-07-05,S001,P0001,Arabica Coffee 500g,Groceries,North,363,127,143,137,33.5,10,Windy,0,36.66,Summer
2023-07-06,S001,P0001,Arabica Coffee 500g,Groceries,North,268,99,106,96,33.5,10,Cloudy,0,32.77,Summer
2023-07-07,S001,P0001,Arabica Coffee 500g,Groceries,North,135,80,101,79,33.5,0,Cloudy,0,36.39,Summer
2023-07-08,S001,P0001,Arabica Coffee 500g,Groceries,North,130,82,73,77,33.5,5,Cloudy,0,31.62,Summer
2023-07-09,S001,P0001,Arabica Coffee 500g,Groceries,North,449,117,162,110,33.5,5,Windy,0,30.48,Summer
2023-07-10,S001,P0001,Arabica Coffee 500g,Groceries,North,222,134,122,135,33.5,0,Cloudy,0,33.75,Summer
2023-07-11,S001,P0001,Arabica Coffee 500g,Groceries,North,242,121,154,123,33.5,5,Windy,0,35.94,Summer
2023-07-12,S001,P0001,Arabica Coffee 500g,Groceries,North,260,110,93,103,33.5,15,Cloudy,0,36.49,Summer
2023-07-13,S001,P0001,Arabica Coffee 500g,Groceries,North,363,106,119,99,33.5,0,Cloudy,0,32.3,Summer
2023-07-14,S001,P0001,Arabica Coffee 500g,Groceries,North,251,79,83,74,33.5,5,Windy,0,31.28,Summer
2023-07-15,S001,P0001,Arabica Coffee 500g,Groceries,North,163,83,71,82,33.5,15,Rainy,0,33.63,Summer
2023-07-16,S001,P0001,Arabica Coffee 500g,Groceries,North,279,108,150,107,33.5,5,Rainy,0,32.98,Summer
2023-07-17,S001,P0001,Arabica Coffee 500g,Groceries,North,339,114,106,117,33.5,0,Cloudy,0,30.49,Summer
2023-07-18,S001,P0001,Arabica Coffee 500g,Groceries,North,323,121,161,120,33.5,20,Rainy,0,35.66,Summer
2023-07-19,S001,P0001,Arabica Coffee 500g,Groceries,North,379,110,116,113,33.5,5,Sunny,0,35.89,Summer
2023-07-20,S001,P0001,Arabica Coffee 500g,Groceries,North,229,97,116,100,33.5,5,Windy,0,32.64,Summer
2023-07-21,S001,P0001,Arabica Coffee 500g,Groceries,North,328,93,102,97,33.5,0,Windy,0,33.23,Summer
2023-07-22,S001,P0001,Arabica Coffee 500g,Groceries,North,295,88,77,82,33.5,0,Cloudy,0,35.16,Summer
2023-07-23,S001,P0001,Arabica Coffee 500g,Groceries,North,233,107,92,116,33.5,15,Rainy,0,31.18,Summer
2023-07-24,S001,P0001,Arabica Coffee 500g,Groceries,North,220,99,110,106,33.5,0,Rainy,0,34.89,Summer
2023-07-25,S001,P0001,Arabica Coffee 500g,Groceries,North,284,119,129,110,33.5,0,Windy,0,31.98,Summer
2023-07-26,S001,P0001,Arabica Coffee 500g,Groceries,North,187,103,116,107,33.5,0,Sunny,0,33.37,Summer
2023-07-27,S001,P0001,Arabica Coffee 500g,Groceries,North,286,85,109,84,33.5,10,Sunny,0,35.65,Summer
2023-07-28,S001,P0001,Arabica Coffee 500g,Groceries,North,187,78,70,77,33.5,0,Cloudy,0,31.76,Summer
2023-07-29,S001,P0001,Arabica Coffee 500g,Groceries,North,194,85,81,78,33.5,10,Cloudy,0,33.09,Summer
2023-07-30,S001,P0001,Arabica Coffee 500g,Groceries,North,259,107,100,112,33.5,0,Sunny,0,33.49,Summer
2023-07-31,S001,P0001,Arabica Coffee 500g,Groceries,North,381,104,145,106,33.5,5,Windy,0,36.11,Summer
2023-08-01,S001,P0001,Arabica Coffee 500g,Groceries,North,413,119,128,109,33.5,15,Rainy,0,33.35,Summer
2023-08-02,S001,P0001,Arabica Coffee 500g,Groceries,North,264,105,119,106,33.5,0,Sunny,0,35.76,Summer
2023-08-03,S001,P0001,Arabica Coffee 500g,Groceries,North,187,91,116,97,33.5,0,Windy,0,36.0,Summer
2023-08-04,S001,P0001,Arabica Coffee 500g,Groceries,North,203,89,92,84,33.5,15,Windy,0,34.21,Summer
2023-08-05,S001,P0001,Arabica Coffee 500g,Groceries,North,210,89,100,85,33.5,15,Sunny,0,31.46,Summer
2023-08-06,S001,P0001,Arabica Coffee 500g,Groceries,North,426,110,114,117,33.5,0,Sunny,0,34.71,Summer
2023-08-07,S001,P0001,Arabica Coffee 500g,Groceries,North,219,113,145,107,33.5,0,Windy,0,31.09,Summer
2023-08-08,S001,P0001,Arabica Coffee 500g,Groceries,North,396,112,105,106,33.5,5,Windy,0,36.61,Summer
2023-08-09,S001,P0001,Arabica Coffee 500g,Groceries,North,272,106,112,100,33.5,0,Windy,0,35.32,Summer
2023-08-10,S001,P0001,Arabica Coffee 500g,Groceries,North,337,94,87,84,33.5,0,Windy,0,33.98,Summer
2023-08-11,S001,P0001,Arabica Coffee 500g,Groceries,North,132,83,76,83,33.5,20,Rainy,0,30.75,Summer
